date,pm25
28/5/2018,3.536145833
29/5/2018,3.836138889
30/5/2018,4.427125
31/5/2018,5.492364395
1/6/2018,7.278138889
2/6/2018,3.710896456
3/6/2018,6.930930556
4/6/2018,6.135571031
5/6/2018,6.304517026
6/6/2018,7.01580959
7/6/2018,7.652263889
8/6/2018,5.953703961
9/6/2018,5.594875
10/6/2018,9.744736111
11/6/2018,8.749661017
12/6/2018,8.643917963
13/6/2018,14.14629167
14/6/2018,12.90791522
15/6/2018,13.39308333
16/6/2018,13.35225156
17/6/2018,4.50267254
18/6/2018,4.159187228
19/6/2018,6.648421053
20/6/2018,7.348506944
21/6/2018,3.443041667
22/6/2018,3.946277778
23/6/2018,5.031684137
24/6/2018,2.833383513
25/6/2018,2.193915194
26/6/2018,1.698948148
27/6/2018,3.173513889
28/6/2018,3.087847222
29/6/2018,6.289858657
30/6/2018,2.728965996
1/7/2018,6.355098177
2/7/2018,4.367394024
3/7/2018,4.665380321
4/7/2018,4.3284375
5/7/2018,4.957883008
6/7/2018,6.751599444
7/7/2018,9.675305981
8/7/2018,6.827159722
9/7/2018,3.964277778
10/7/2018,4.25597629
11/7/2018,4.273870744
12/7/2018,5.744506944
13/7/2018,8.503820459
14/7/2018,11.70234722
15/7/2018,11.65375694
16/7/2018,12.18586111
17/7/2018,13.72850871
18/7/2018,9.234037526
19/7/2018,11.11774306
20/7/2018,11.42913194
21/7/2018,3.193833333
22/7/2018,6.696316887
23/7/2018,7.539243056
24/7/2018,5.667055556
25/7/2018,5.844482279
26/7/2018,5.973854167
27/7/2018,3.799722222
28/7/2018,3.348340278
29/7/2018,2.421125782
30/7/2018,2.748485059
31/7/2018,1.894097222
1/8/2018,2.458314691
2/8/2018,3.22218663
3/8/2018,6.120489083
7/8/2018,6.502632275
8/8/2018,5.970034771
9/8/2018,4.774534722
10/8/2018,4.186159722
11/8/2018,7.285055556
12/8/2018,8.9699375
13/8/2018,10.70030556
14/8/2018,10.82975
15/8/2018,15.21486397
16/8/2018,27.87531323
17/8/2018,18.29448611
18/8/2018,10.91390278
19/8/2018,7.144715278
20/8/2018,6.780576389
21/8/2018,8.454631944
22/8/2018,3.142776224
23/8/2018,2.452508711
24/8/2018,3.223888889
25/8/2018,6.223944444
26/8/2018,5.643784722
27/8/2018,7.588847222
28/8/2018,6.881659722
29/8/2018,3.386256944
30/8/2018,4.621722222
31/8/2018,7.338840278
1/9/2018,4.614791667
2/9/2018,2.67359944
3/9/2018,2.365750708
4/9/2018,2.488686441
5/9/2018,1.970476529
6/9/2018,2.104054834
7/9/2018,2.409833333
8/9/2018,2.056185785
9/9/2018,1.90007874
10/9/2018,3.086201389
11/9/2018,2.360868056
12/9/2018,7.266847222
13/9/2018,3.835097222
14/9/2018,2.182520833
15/9/2018,3.760756944
16/9/2018,4.5624375
17/9/2018,4.303344948
18/9/2018,3.846568006
19/9/2018,7.720104312
20/9/2018,6.046215278
21/9/2018,3.749281093
22/9/2018,7.7625
1/10/2018,8.163171091
2/10/2018,9.667734538
3/10/2018,4.268972222
4/10/2018,6.770925539
5/10/2018,8.663409722
6/10/2018,3.443368056
7/10/2018,1.861645833
8/10/2018,1.952819444
9/10/2018,2.624541667
10/10/2018,4.2199375
11/10/2018,4.881215278
12/10/2018,7.157590278
13/10/2018,3.971243056
14/10/2018,3.204083333
15/10/2018,2.034694444
16/10/2018,3.764076389
17/10/2018,2.428304378
18/10/2018,2.202152778
19/10/2018,1.460743056
20/10/2018,1.349513889
21/10/2018,2.712069444
22/10/2018,4.381645833
23/10/2018,4.861416667
24/10/2018,3.646111111
25/10/2018,2.902701389
26/10/2018,3.429583333
27/10/2018,3.410923611
28/10/2018,2.151201389
29/10/2018,3.823520833
30/10/2018,4.996743056
31/10/2018,4.073611111
1/11/2018,4.098284722
2/11/2018,3.739118056
3/11/2018,0.891590278
4/11/2018,1.2360625
5/11/2018,1.157429775
6/11/2018,6.239512195
7/11/2018,7.263869839
8/11/2018,2.876121643
9/11/2018,2.872121212
13/11/2018,1.635798319
14/11/2018,5.626842105
19/11/2018,6.829182825
20/11/2018,5.384750181
21/11/2018,3.836756955
22/11/2018,3.052842252
23/11/2018,10.9772803
24/11/2018,11.40136111
25/11/2018,11.83131837
26/11/2018,16.16577778
27/11/2018,12.6462726
28/11/2018,9.236762153
17/2/2019,4.046594465
18/2/2019,4.287590782
19/2/2019,3.950257634
20/2/2019,4.59524812
21/2/2019,4.45916826
22/2/2019,4.894035813
23/2/2019,5.176670823
24/2/2019,4.634660767
25/2/2019,3.725932063
26/2/2019,4.844879357
27/2/2019,8.169811828
28/2/2019,8.436705607
1/3/2019,11.94379058
2/3/2019,39.48581569
3/3/2019,17.85624831
4/3/2019,38.86013062
5/3/2019,33.32436416
6/3/2019,24.91856155
7/3/2019,19.91184343
8/3/2019,11.49222064
9/3/2019,8.925601023
10/3/2019,6.381308962
11/3/2019,8.670315375
12/3/2019,8.65444795
13/3/2019,14.39664748
14/3/2019,11.45831241
15/3/2019,21.92930288
16/3/2019,51.79859897
17/3/2019,25.83961386
18/3/2019,26.24806575
19/3/2019,21.35849138
20/3/2019,5.328480356
21/3/2019,8.062659668
22/3/2019,30.65231884
23/3/2019,53.47523611
24/3/2019,25.13529517
25/3/2019,5.452741935
26/3/2019,6.699847434
27/3/2019,10.22488889
28/3/2019,24.17895906
29/3/2019,6.807581361
30/3/2019,7.902231969
31/3/2019,7.354146341
2/4/2019,3.855930556
3/4/2019,4.63789434
4/4/2019,9.11055905
5/4/2019,6.2404375
6/4/2019,8.365553236
7/4/2019,5.091541667
8/4/2019,9.563756944
9/4/2019,8.3920625
10/4/2019,9.420163121
11/4/2019,5.563076389
12/4/2019,11.17701389
13/4/2019,11.00595139
14/4/2019,9.853895833
15/4/2019,20.07334722
16/4/2019,3.494034722
17/4/2019,13.78226389
18/4/2019,8.477604167
19/4/2019,17.499
20/4/2019,20.3394375
21/4/2019,20.81520833
22/4/2019,16.16211111
23/4/2019,9.028569444
24/4/2019,14.24096045
25/4/2019,5.443318662
26/4/2019,13.33095842
27/4/2019,14.55100488
28/4/2019,3.894909722
29/4/2019,8.765402778
30/4/2019,3.360461538
1/5/2019,15.36103448
25/7/2019,6.376756757
19/9/2019,35.53459108
20/9/2019,20.66541252
21/9/2019,21.60310672
22/9/2019,26.90982677
23/9/2019,40.69950035
24/9/2019,13.92816924
25/9/2019,5.182635278
26/9/2019,3.105195313
27/9/2019,3.84031614
28/9/2019,4.610558751
29/9/2019,3.850290698
30/9/2019,5.046898839
1/10/2019,5.909576271
2/10/2019,4.140259319
3/10/2019,3.291923077
4/10/2019,2.927362963
5/10/2019,3.684663462
6/10/2019,2.968678571
7/10/2019,2.860120087
8/10/2019,3.506335227
9/10/2019,2.796296296
10/10/2019,2.318550725
11/10/2019,2.634596376
12/10/2019,4.545813953
16/10/2019,2.572352941
17/10/2019,1.292586786
18/10/2019,1.734515738
19/10/2019,1.143021033
20/10/2019,1.438265683
21/10/2019,1.584380322
22/10/2019,2.828012769
23/10/2019,2.466595745
24/10/2019,1.83523871
25/10/2019,2.430942111
26/10/2019,1.758112
27/10/2019,1.761300281
28/10/2019,2.26160804
29/10/2019,2.133524946
30/10/2019,2.56863109
31/10/2019,4.33840188
1/11/2019,1.853648803
2/11/2019,1.386594949
3/11/2019,1.826079812
4/11/2019,3.060562572
5/11/2019,2.582695738
6/11/2019,1.385527523
7/11/2019,1.965672576
8/11/2019,3.01275974
9/11/2019,2.218162584
10/11/2019,2.027639035
11/11/2019,2.768343337
12/11/2019,3.352886497
13/11/2019,2.377238095
14/11/2019,2.196330532
15/11/2019,1.616875
16/11/2019,1.90643797
17/11/2019,2.772197309
18/11/2019,3.249813176
19/11/2019,2.112302093
20/11/2019,3.706302521
21/11/2019,3.307057546
22/11/2019,1.85600321
23/11/2019,2.015590278
